ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
2-79;NA;1;Grek;90;-12;18;SBH;male;35;102;34.9;NA;NA;3;34;NA;NA;NA
2-89;NA;1;Grek;90;-9;11;SBH;male;35;103;33.1;NA;NA;1;31.8;NA;NA;NA
2-94;NA;1;Grek;90;-9;10;DHT;male;35;99;32;NA;NA;2;28.6;NA;NA;NA
2-99;NA;1;Grek;90;-9;16;SBH;male;35;99;33.3;NA;NA;3;34;NA;NA;NA
2H-38;NA;1;Kvi;91;60;13;DHT;female;50;98;32.1;76;28;2;30.7;11.7;5;5.2
2H-8;NA;1;Kvi;91;41;8;SBH;male;50;105;33.1;83;33;1;35.4;13.3;5.2;5.1
H-23;NA;1;Kvi;91;56;9;SBH;female;80;94;32.2;75;29;2;33.1;12.2;5.2;5
H-42;NA;1;Kvi;91;63;8;DHT;female;70;96;31.9;72;28;1;27.8;11.5;5.1;4.8
H-45;NA;1;Kvi;91;45;7;SBH;female;70;95;32.9;75;28;3;35;12.3;5.1;5.1
H2-9;NA;1;Kvi;91;28;20;SBH;male;50;100.4;33.1;78;31;2;33.8;12.3;5.1;5
H4-83;NA;1;Kvi;91;41;8;SBH;female;55;97;34;76;28.5;2;34.8;12.8;5.1;5.2
H4-83;NA;2;Kvi;91;63;9;DHT;female;55;97;33.8;75;26;1;33.8;13.1;5.3;5.3
H5-11;NA;1;Kvi;91;62;11;SBH;female;40;98;33;75;28;2;30.8;12;5.1;5
H5-14;NA;1;Kvi;91;37;9;DHT;female;40;98;32.6;75;29;1;34.7;12.3;5;5.2
H5-18;NA;1;Kvi;91;60;12;DHT;male;40;106;34;83;30.5;1;33.4;12.7;5.5;5.2
H5-28;NA;1;Kvi;91;18;22;SBH;male;40;101;33.2;78;29;3;33.7;12.1;NA;NA
H5-48;NA;1;Kvi;91;43;10;SBH;male;40;104;33.7;82;32;1;35.7;12;5;5
H5-59;NA;1;Kvi;91;28;8;SBH;female;40;95;32.5;74;29;2;36.3;12.1;5.1;5.1
H5-79;NA;1;Kvi;91;83;10;DHT;female;40;96;32.1;74;29;1;28.8;12.4;5.2;5.3
H5-89;NA;1;Kvi;91;18;22;SBH;male;40;100;34.8;81;31;2;36.6;12.2;NA;NA
H5-97;NA;1;Kvi;91;64;16;BNN;female;40;97;32.2;77;29;2;32.2;12.2;5;5.1
H7-22;NA;1;Kvi;91;24;9;SBH;male;35;103;33.8;82;30;1;36.3;12.8;5.2;5
H7-24;NA;1;Kvi;91;54;9;SBH;female;20;97;33.3;76;29;2;34.4;12.7;5.2;4.9
H7-27;NA;1;Kvi;91;24;6;DHT;male;35;100;34.9;80;28;0;36.5;13;5.6;5.1
H7-28;NA;1;Kvi;91;NA;NA;DHT;female;35;98;32.8;75;29;3;35.7;12.2;5.2;5
H7-29;NA;1;Kvi;91;45;7;DHT;female;20;96;30.4;77;28;4;NA;12.3;5.2;5.2
H7-42;NA;1;Kvi;91;33;9;DHT;female;20;97;33.8;75;29;2;34.4;12.1;5;5.3
H7-47;NA;1;Kvi;91;43;8;SBH;male;20;101;33.6;81;30;2;33.7;12.4;5.1;4.9
H7-47;NA;2;Kvi;91;54;20;DHT;male;20;101;33.8;80;28;3;34.8;12;5.4;5.1
H7-48;NA;1;Kvi;91;53;18;DHT;female;35;98;32.1;74;30;NA;37.3;12.3;5.2;5
H7-55;NA;1;Kvi;91;29;10;DHT;male;35;102;33.9;80;26;1;NA;13.1;5.4;5.3
H7-58;NA;1;Kvi;91;47;18;SBH;male;35;97;32.8;78;28.5;2;34.9;13.2;5.1;4.9
H7-7;NA;1;Kvi;91;53;12;DHT;female;65;99;33.2;78;27;1;31.7;13.1;5.3;5.2
H7-71;NA;1;Kvi;91;37;19;SBH;male;20;99;32.8;78;31;2;33.4;13;5;5.1
H7-78;NA;1;Kvi;91;24;20;SBH;male;35;99;34.8;76;29;1;35.4;12.3;5.2;5.1
H7-82;NA;1;Kvi;91;42;11;DHT;female;35;98;30.8;76;28;1;NA;11.9;5;5.1
H7-82;NA;2;Kvi;91;79;10;DHT;female;35;98;30.8;NA;NA;0;28;NA;NA;NA
H7-85;NA;1;Kvi;91;37;18;SBH;male;35;98;33.4;75;28.5;2;33.7;12.1;5;4.9
H7-99;NA;1;Kvi;91;27;5;SBH;male;35;101.4;34.1;79;30.5;NA;NA;12.8;5.3;5.1
H8-25;NA;1;Kvi;91;67;18;BNN;male;30;100;34.2;78;28;2;37;12.9;NA;NA
H8-27;NA;1;Kvi;91;45;11;SBH;female;30;98;32.5;77;32;3;31.8;11.9;5;5
H8-57;NA;1;Kvi;91;24;6;SBH;male;30;101.4;33.6;83;31;1;32.3;12.3;5.1;5.1
H8-72;NA;1;Kvi;91;30;10;SBH;male;30;100.4;33.4;80;28.5;1;34.4;12.2;5;5.1
H8-92;NA;1;Kvi;91;22;15;DHT;male;30;101;34.9;78;29.5;2;34.6;12.1;5.1;4.9
H8-99;NA;1;Kvi;91;43;9;SBH;female;35;96;32.1;76;30;3;31.6;12.1;5;5
H9-25;NA;1;Kvi;91;27;21;SBH;male;20;101;33.2;80;28;2;32.9;12.8;5.2;5
H9-27;NA;1;Kvi;91;59;11;DHT;female;20;98.3;32.3;76;28.5;2;34.7;12.9;5.2;5.4
H9-28;NA;1;Kvi;91;43;7;DHT;female;20;97.4;32.6;75;29;1;NA;12.3;5.2;5.3
H9-28;NA;2;Kvi;91;73;7;DHT;female;20;97;32.3;75;29.5;NA;NA;NA;NA;NA
H9-29;NA;1;Kvi;91;27;15;SBH;male;20;100;34.1;77;28.5;2;34.7;12.3;5;4.9
H9-52;NA;1;Kvi;91;41;7;DHT;female;20;93.4;31.8;72;26;2;NA;12.2;5;5.2
H9-55;NA;2;Kvi;91;83;12;DHT;female;20;94;32.2;73;26;1;29.3;11.9;5.2;5.2
H9-55;NA;1;Kvi;91;59;8;BNN;female;20;92;32.7;73;27;2;36.4;11.8;5.3;5.7
H9-58;NA;1;Kvi;91;62;20;BNN;female;20;94;33.8;72;28;2;34.6;12.1;5.1;4.9
H9-58;NA;2;Kvi;91;87;11;DHT;female;20;96;33.7;73;28;2;32.2;NA;NA;NA
H9-59;NA;1;Kvi;91;42;19;SBH;male;20;100;32.6;80;30.5;2;34.2;12;5.1;5
H9-75;NA;1;Kvi;91;17;13;SBH;male;20;99;34.9;77;30;2;35.1;13.3;5.4;5
H9-85;NA;1;Kvi;91;46;10;DHT;female;20;94;31.7;74;28.5;1;36.7;12.1;5.1;5.1
H9-85;NA;2;Kvi;91;87;11;DHT;female;20;94;31.7;74;29.5;4;35.5;11.8;5.1;5.2
H9-88;NA;1;Kvi;91;45;11;SBH;male;20;103.7;33;82;32.5;1;33.1;12.2;5.1;4.9
H9-92;NA;1;Kvi;91;42;7;DHT;female;20;96.4;34.1;72;28;1;33.8;11.9;5.1;5.7
H9-94;NA;1;Kvi;91;33;6;DHT;female;20;95.4;33.2;76;NA;2;32.1;12;5.2;5.2
H9-99;NA;1;Kvi;91;43;20;DHT;female;20;99;32.9;77;28;3;36.3;12.2;5.1;5.2
V-21;NA;1;Kvi;91;42;19;DHT;male;45;102;34;79;30;2;35.6;13.1;5;4.9
V-39;NA;1;Kvi;91;56;7;SBH;female;55;96;33.2;74;29;1;32.1;12.8;5;5
V-41;NA;1;Kvi;91;63;16;DHT;female;55;96;32.8;76;28;1;31.4;12;5.2;5.2
V-48;NA;1;Kvi;91;27;21;SBH;male;35;99;32.8;80;28.5;2;NA;12.6;5.1;5
V-57;NA;1;Kvi;91;42;7;DHT;male;35;101;33;79;27;1;32.3;12.4;5.2;5
