ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
H4-81;;1.00;Tak;89.00;36.00;11.00;SBH;1.00;35.00;100.00;32.80;;;1.00;35.30;;;
H4-82;3423630.00;1.00;Tak;89.00;24.00;10.00;DHT;1.00;35.00;101.00;33.10;;;2.00;34.20;;;
H4-83;;1.00;Tak;89.00;26.00;12.00;DHT;2.00;35.00;97.00;33.90;;;2.00;32.20;;;
H4-85;;1.00;Tak;89.00;15.00;21.00;SBH;1.00;35.00;103.00;34.40;;;3.00;36.80;;;
H4-87;;1.00;Tak;89.00;21.00;10.00;SBH;1.00;35.00;102.00;33.50;;;3.00;39.80;;;
H4-88;;1.00;Tak;89.00;18.00;11.00;SBH;1.00;35.00;104.00;35.20;;;2.00;37.10;;;
H4-89;;1.00;Tak;89.00;27.00;10.00;DHT;1.00;35.00;103.00;32.20;;;2.00;37.00;;;
H4-92;;1.00;Tak;89.00;17.00;12.00;SBH;1.00;35.00;102.00;34.60;;;3.00;37.60;;;
H4-93;;1.00;Tak;89.00;27.00;10.00;DHT;1.00;35.00;103.00;33.90;;;2.00;38.10;;;
H4-95;;1.00;Tak;89.00;21.00;11.00;SBH;1.00;35.00;103.00;33.30;;;1.00;35.30;;;
H4-97;;1.00;Tak;89.00;24.00;14.00;UON;1.00;25.00;99.00;31.90;;;2.00;35.30;;;
H4-98;;1.00;Tak;89.00;4.00;12.00;DHT;1.00;35.00;103.00;33.30;;;3.00;;;;
H4-99;;1.00;Tak;89.00;17.00;11.00;SBH;1.00;35.00;103.00;33.40;;;2.00;34.20;;;
V5-33;;1.00;Tak;89.00;18.00;18.00;SBH;1.00;20.00;101.00;34.20;;;1.00;34.30;;;
V5-38;;1.00;Tak;89.00;26.00;10.00;DHT;1.00;20.00;104.00;35.30;;;1.00;38.00;;;
V5-87;;1.00;Tak;89.00;24.00;8.00;DHT;1.00;20.00;102.00;33.60;;;1.00;34.10;;;
V5-95;;1.00;Tak;89.00;37.00;11.00;SBH;2.00;20.00;97.00;32.80;;;3.00;34.50;;;
2-15;;1.00;Grek;90.00;-9.00;12.00;DHT;1.00;35.00;100.00;34.30;;;3.00;33.90;;;
2-25;;1.00;Grek;90.00;-19.00;17.00;DHT;1.00;35.00;100.00;34.40;;;3.00;33.00;;;
2-48;;1.00;Grek;90.00;-9.00;10.00;SBH;1.00;35.00;97.00;32.10;;;2.00;31.30;;;
2-55;;1.00;Grek;90.00;-12.00;12.00;DHT;1.00;35.00;98.00;33.70;;;3.00;33.70;;;
2-59;;1.00;Grek;90.00;-9.00;18.00;SBH;1.00;35.00;98.00;33.40;;;3.00;32.00;;;
2-72;;1.00;Grek;90.00;-12.00;13.00;DHT;1.00;35.00;98.00;33.30;;;4.00;34.00;;;
2-77;;1.00;Grek;90.00;-9.00;17.00;SBH;1.00;35.00;97.00;34.00;;;4.00;34.00;;;
2-79;;1.00;Grek;90.00;-12.00;18.00;SBH;1.00;35.00;102.00;34.90;;;3.00;34.00;;;
2-89;;1.00;Grek;90.00;-9.00;11.00;SBH;1.00;35.00;103.00;33.10;;;1.00;31.80;;;
2-94;;1.00;Grek;90.00;-9.00;10.00;DHT;1.00;35.00;99.00;32.00;;;2.00;28.60;;;
2-99;;1.00;Grek;90.00;-9.00;16.00;SBH;1.00;35.00;99.00;33.30;;;3.00;34.00;;;
2H-38;;1.00;Kvi;91.00;60.00;13.00;DHT;2.00;50.00;98.00;32.10;76.00;28.00;2.00;30.70;11.70;5.00;5.20
2H-8;;1.00;Kvi;91.00;41.00;8.00;SBH;1.00;50.00;105.00;33.10;83.00;33.00;1.00;35.40;13.30;5.20;5.10
H-23;;1.00;Kvi;91.00;56.00;9.00;SBH;2.00;80.00;94.00;32.20;75.00;29.00;2.00;33.10;12.20;5.20;5.00
H-42;;1.00;Kvi;91.00;63.00;8.00;DHT;2.00;70.00;96.00;31.90;72.00;28.00;1.00;27.80;11.50;5.10;4.80
H-45;;1.00;Kvi;91.00;45.00;7.00;SBH;2.00;70.00;95.00;32.90;75.00;28.00;3.00;35.00;12.30;5.10;5.10
H2-9;;1.00;Kvi;91.00;28.00;20.00;SBH;1.00;50.00;100.40;33.10;78.00;31.00;2.00;33.80;12.30;5.10;5.00
H4-83;;1.00;Kvi;91.00;41.00;8.00;SBH;2.00;55.00;97.00;34.00;76.00;28.50;2.00;34.80;12.80;5.10;5.20
H4-83;;2.00;Kvi;91.00;63.00;9.00;DHT;2.00;55.00;97.00;33.80;75.00;26.00;1.00;33.80;13.10;5.30;5.30
H5-11;;1.00;Kvi;91.00;62.00;11.00;SBH;2.00;40.00;98.00;33.00;75.00;28.00;2.00;30.80;12.00;5.10;5.00
H5-14;;1.00;Kvi;91.00;37.00;9.00;DHT;2.00;40.00;98.00;32.60;75.00;29.00;1.00;34.70;12.30;5.00;5.20
H5-18;;1.00;Kvi;91.00;60.00;12.00;DHT;1.00;40.00;106.00;34.00;83.00;30.50;1.00;33.40;12.70;5.50;5.20
H5-28;;1.00;Kvi;91.00;18.00;22.00;SBH;1.00;40.00;101.00;33.20;78.00;29.00;3.00;33.70;12.10;;
H5-48;;1.00;Kvi;91.00;43.00;10.00;SBH;1.00;40.00;104.00;33.70;82.00;32.00;1.00;35.70;12.00;5.00;5.00
H5-59;;1.00;Kvi;91.00;28.00;8.00;SBH;2.00;40.00;95.00;32.50;74.00;29.00;2.00;36.30;12.10;5.10;5.10
H5-79;;1.00;Kvi;91.00;83.00;10.00;DHT;2.00;40.00;96.00;32.10;74.00;29.00;1.00;28.80;12.40;5.20;5.30
H5-89;;1.00;Kvi;91.00;18.00;22.00;SBH;1.00;40.00;100.00;34.80;81.00;31.00;2.00;36.60;12.20;;
H5-97;;1.00;Kvi;91.00;64.00;16.00;BNN;2.00;40.00;97.00;32.20;77.00;29.00;2.00;32.20;12.20;5.00;5.10
H7-22;;1.00;Kvi;91.00;24.00;9.00;SBH;1.00;35.00;103.00;33.80;82.00;30.00;1.00;36.30;12.80;5.20;5.00
H7-24;;1.00;Kvi;91.00;54.00;9.00;SBH;2.00;20.00;97.00;33.30;76.00;29.00;2.00;34.40;12.70;5.20;4.90
H7-27;;1.00;Kvi;91.00;24.00;6.00;DHT;1.00;35.00;100.00;34.90;80.00;28.00;.00;36.50;13.00;5.60;5.10
H7-28;;1.00;Kvi;91.00;;;DHT;2.00;35.00;98.00;32.80;75.00;29.00;3.00;35.70;12.20;5.20;5.00
H7-29;;1.00;Kvi;91.00;45.00;7.00;DHT;2.00;20.00;96.00;30.40;77.00;28.00;4.00;;12.30;5.20;5.20
H7-42;;1.00;Kvi;91.00;33.00;9.00;DHT;2.00;20.00;97.00;33.80;75.00;29.00;2.00;34.40;12.10;5.00;5.30
H7-47;;1.00;Kvi;91.00;43.00;8.00;SBH;1.00;20.00;101.00;33.60;81.00;30.00;2.00;33.70;12.40;5.10;4.90
H7-47;;2.00;Kvi;91.00;54.00;20.00;DHT;1.00;20.00;101.00;33.80;80.00;28.00;3.00;34.80;12.00;5.40;5.10
H7-48;;1.00;Kvi;91.00;53.00;18.00;DHT;2.00;35.00;98.00;32.10;74.00;30.00;;37.30;12.30;5.20;5.00
H7-55;;1.00;Kvi;91.00;29.00;10.00;DHT;1.00;35.00;102.00;33.90;80.00;26.00;1.00;;13.10;5.40;5.30
H7-58;;1.00;Kvi;91.00;47.00;18.00;SBH;1.00;35.00;97.00;32.80;78.00;28.50;2.00;34.90;13.20;5.10;4.90
H7-7;;1.00;Kvi;91.00;53.00;12.00;DHT;2.00;65.00;99.00;33.20;78.00;27.00;1.00;31.70;13.10;5.30;5.20
H7-71;;1.00;Kvi;91.00;37.00;19.00;SBH;1.00;20.00;99.00;32.80;78.00;31.00;2.00;33.40;13.00;5.00;5.10
H7-78;;1.00;Kvi;91.00;24.00;20.00;SBH;1.00;35.00;99.00;34.80;76.00;29.00;1.00;35.40;12.30;5.20;5.10
H7-82;;1.00;Kvi;91.00;42.00;11.00;DHT;2.00;35.00;98.00;30.80;76.00;28.00;1.00;;11.90;5.00;5.10
H7-82;;2.00;Kvi;91.00;79.00;10.00;DHT;2.00;35.00;98.00;30.80;;;.00;28.00;;;
H7-85;;1.00;Kvi;91.00;37.00;18.00;SBH;1.00;35.00;98.00;33.40;75.00;28.50;2.00;33.70;12.10;5.00;4.90
H7-99;;1.00;Kvi;91.00;27.00;5.00;SBH;1.00;35.00;101.40;34.10;79.00;30.50;;;12.80;5.30;5.10
H8-25;;1.00;Kvi;91.00;67.00;18.00;BNN;1.00;30.00;100.00;34.20;78.00;28.00;2.00;37.00;12.90;;
H8-27;;1.00;Kvi;91.00;45.00;11.00;SBH;2.00;30.00;98.00;32.50;77.00;32.00;3.00;31.80;11.90;5.00;5.00
H8-57;;1.00;Kvi;91.00;24.00;6.00;SBH;1.00;30.00;101.40;33.60;83.00;31.00;1.00;32.30;12.30;5.10;5.10
H8-72;;1.00;Kvi;91.00;30.00;10.00;SBH;1.00;30.00;100.40;33.40;80.00;28.50;1.00;34.40;12.20;5.00;5.10
H8-92;;1.00;Kvi;91.00;22.00;15.00;DHT;1.00;30.00;101.00;34.90;78.00;29.50;2.00;34.60;12.10;5.10;4.90
H8-99;;1.00;Kvi;91.00;43.00;9.00;SBH;2.00;35.00;96.00;32.10;76.00;30.00;3.00;31.60;12.10;5.00;5.00
H9-25;;1.00;Kvi;91.00;27.00;21.00;SBH;1.00;20.00;101.00;33.20;80.00;28.00;2.00;32.90;12.80;5.20;5.00
H9-27;;1.00;Kvi;91.00;59.00;11.00;DHT;2.00;20.00;98.30;32.30;76.00;28.50;2.00;34.70;12.90;5.20;5.40
H9-28;;1.00;Kvi;91.00;43.00;7.00;DHT;2.00;20.00;97.40;32.60;75.00;29.00;1.00;;12.30;5.20;5.30
H9-28;;2.00;Kvi;91.00;73.00;7.00;DHT;2.00;20.00;97.00;32.30;75.00;29.50;;;;;
H9-29;;1.00;Kvi;91.00;27.00;15.00;SBH;1.00;20.00;100.00;34.10;77.00;28.50;2.00;34.70;12.30;5.00;4.90
H9-52;;1.00;Kvi;91.00;41.00;7.00;DHT;2.00;20.00;93.40;31.80;72.00;26.00;2.00;;12.20;5.00;5.20
H9-55;;2.00;Kvi;91.00;83.00;12.00;DHT;2.00;20.00;94.00;32.20;73.00;26.00;1.00;29.30;11.90;5.20;5.20
H9-55;;1.00;Kvi;91.00;59.00;8.00;BNN;2.00;20.00;92.00;32.70;73.00;27.00;2.00;36.40;11.80;5.30;5.70
H9-58;;1.00;Kvi;91.00;62.00;20.00;BNN;2.00;20.00;94.00;33.80;72.00;28.00;2.00;34.60;12.10;5.10;4.90
H9-58;;2.00;Kvi;91.00;87.00;11.00;DHT;2.00;20.00;96.00;33.70;73.00;28.00;2.00;32.20;;;
H9-59;;1.00;Kvi;91.00;42.00;19.00;SBH;1.00;20.00;100.00;32.60;80.00;30.50;2.00;34.20;12.00;5.10;5.00
H9-75;;1.00;Kvi;91.00;17.00;13.00;SBH;1.00;20.00;99.00;34.90;77.00;30.00;2.00;35.10;13.30;5.40;5.00
H9-85;;1.00;Kvi;91.00;46.00;10.00;DHT;2.00;20.00;94.00;31.70;74.00;28.50;1.00;36.70;12.10;5.10;5.10
H9-85;;2.00;Kvi;91.00;87.00;11.00;DHT;2.00;20.00;94.00;31.70;74.00;29.50;4.00;35.50;11.80;5.10;5.20
H9-88;;1.00;Kvi;91.00;45.00;11.00;SBH;1.00;20.00;103.70;33.00;82.00;32.50;1.00;33.10;12.20;5.10;4.90
H9-92;;1.00;Kvi;91.00;42.00;7.00;DHT;2.00;20.00;96.40;34.10;72.00;28.00;1.00;33.80;11.90;5.10;5.70
H9-94;;1.00;Kvi;91.00;33.00;6.00;DHT;2.00;20.00;95.40;33.20;76.00;;2.00;32.10;12.00;5.20;5.20
H9-99;;1.00;Kvi;91.00;43.00;20.00;DHT;2.00;20.00;99.00;32.90;77.00;28.00;3.00;36.30;12.20;5.10;5.20
V-21;;1.00;Kvi;91.00;42.00;19.00;DHT;1.00;45.00;102.00;34.00;79.00;30.00;2.00;35.60;13.10;5.00;4.90
V-39;;1.00;Kvi;91.00;56.00;7.00;SBH;2.00;55.00;96.00;33.20;74.00;29.00;1.00;32.10;12.80;5.00;5.00
V-41;;1.00;Kvi;91.00;63.00;16.00;DHT;2.00;55.00;96.00;32.80;76.00;28.00;1.00;31.40;12.00;5.20;5.20
V-48;;1.00;Kvi;91.00;27.00;21.00;SBH;1.00;35.00;99.00;32.80;80.00;28.50;2.00;;12.60;5.10;5.00
V-57;;1.00;Kvi;91.00;42.00;7.00;DHT;1.00;35.00;101.00;33.00;79.00;27.00;1.00;32.30;12.40;5.20;5.00
V-74;;1.00;Kvi;91.00;54.00;16.00;DHT;2.00;35.00;95.00;30.80;75.00;26.50;1.00;29.20;12.80;5.20;5.00
V-81;;1.00;Kvi;91.00;87.00;9.00;DHT;1.00;40.00;104.40;34.60;83.00;32.00;5.00;39.00;13.40;5.20;5.70
V-99;;1.00;Kvi;91.00;22.00;15.00;DHT;1.00;65.00;104.40;33.30;80.00;30.00;2.00;35.40;12.60;5.20;4.80
1H-42;;1.00;Seg;91.00;49.00;10.00;DHT;1.00;35.00;100.00;33.60;80.00;28.00;2.00;;12.00;5.30;5.00
1H-55;;2.00;Seg;91.00;26.00;7.00;SBH;1.00;35.00;103.00;34.00;82.00;30.00;1.00;35.90;13.40;;
1H-55;;1.00;Seg;91.00;84.00;10.00;BNN;1.00;35.00;102.00;34.10;81.00;29.60;.00;31.70;13.50;5.60;5.50
1H-77;;1.00;Seg;91.00;26.00;7.00;SBH;1.00;35.00;99.00;33.20;78.00;30.00;1.00;32.60;13.10;;
1H-88;;1.00;Seg;91.00;26.00;9.00;SBH;1.00;35.00;103.00;34.80;82.00;32.50;2.00;35.30;;;
H5-44;;1.00;Seg;91.00;26.00;6.00;SBH;1.00;40.00;98.00;33.50;79.00;30.50;1.00;32.60;11.90;;
H5-99;;1.00;Seg;91.00;26.00;9.00;SBH;1.00;40.00;102.00;33.00;79.00;32.00;2.00;37.10;12.30;;
V-24;;1.00;Seg;91.00;86.00;11.00;BNN;2.00;35.00;97.00;;;;2.00;27.00;;;
1H-25;;1.00;Tys;91.00;30.00;5.00;SBH;1.00;35.00;102.00;34.50;80.00;30.00;1.00;36.50;12.80;5.30;5.10
1H-75;;1.00;Tys;91.00;30.00;6.00;SBH;1.00;35.00;100.00;33.70;77.00;31.00;1.00;35.00;13.00;5.10;4.80
1H-79;;1.00;Tys;91.00;30.00;5.00;DHT;1.00;35.00;103.00;34.60;82.00;32.00;1.00;35.90;12.10;5.40;5.20
1H-99;;1.00;Tys;91.00;30.00;7.00;SBH;1.00;35.00;101.00;34.00;;27.00;1.00;36.90;12.90;5.10;5.30
H5-98;;1.00;Tys;91.00;30.00;4.00;SBH;1.00;40.00;101.00;34.80;81.00;31.00;2.00;34.80;12.40;5.20;5.00
2H-38;;1.00;Kvi;92.00;46.00;10.00;DHT;2.00;60.00;99.00;32.10;78.00;29.00;2.00;30.60;11.50;5.20;5.20
H-23;;1.00;Kvi;92.00;44.00;18.00;BNN;2.00;90.00;95.00;32.10;74.00;29.00;.00;31.40;12.80;5.30;5.10
H0-01;;1.00;Kvi;92.00;54.00;8.00;BNN;1.00;20.00;97.00;32.90;75.00;28.00;1.00;32.30;12.20;5.20;5.10
H0-09;;1.00;Kvi;92.00;64.00;11.00;DHT;2.00;20.00;97.30;32.30;74.00;29.00;2.00;33.20;12.90;5.20;4.90
H0-15;;1.00;Kvi;92.00;29.00;16.00;SBH;2.00;20.00;96.00;32.90;71.00;28.50;3.00;37.20;12.50;5.20;5.00
H0-18;;1.00;Kvi;92.00;29.00;9.00;SBH;1.00;20.00;100.00;32.40;76.00;29.50;1.00;;12.70;5.20;5.30
H0-25;;1.00;Kvi;92.00;24.00;9.00;DHT;2.00;20.00;92.00;32.60;71.00;22.00;3.00;34.60;11.80;5.10;5.00
H0-27;;1.00;Kvi;92.00;25.00;12.00;DHT;1.00;20.00;97.00;34.70;74.00;27.50;2.00;33.20;12.30;5.20;5.20
H0-45;;1.00;Kvi;92.00;47.00;10.00;BNN;1.00;20.00;100.00;33.70;77.00;28.00;1.00;33.70;13.10;5.10;5.00
H0-49;;1.00;Kvi;92.00;44.00;6.00;BNN;2.00;20.00;93.50;32.70;69.00;27.00;1.00;33.10;13.00;5.30;5.10
H0-55;;1.00;Kvi;92.00;22.00;9.00;BNN;1.00;20.00;102.00;33.20;75.00;29.00;1.00;;13.30;5.20;5.00
H0-77;;2.00;Kvi;92.00;28.00;12.00;BNN;1.00;20.00;101.00;;78.50;30.50;1.00;33.40;12.10;5.10;4.90
H0-77;;1.00;Kvi;92.00;58.00;9.00;DHT;1.00;20.00;100.00;33.90;80.00;28.00;.00;30.80;11.90;5.00;4.80
H0-81;;1.00;Kvi;92.00;29.00;8.00;SBH;2.00;20.00;93.00;31.30;73.00;27.00;2.00;31.90;12.70;5.00;5.10
H0-81;;2.00;Kvi;92.00;79.00;18.00;DHT;2.00;20.00;93.00;31.80;73.00;26.00;2.00;29.20;13.00;5.00;5.40
H0-95;;1.00;Kvi;92.00;53.00;9.00;DHT;2.00;20.00;94.00;34.00;73.00;27.00;1.00;39.40;12.70;5.20;5.40
H2-9;;1.00;Kvi;92.00;45.00;9.00;DHT;1.00;60.00;102.00;33.20;;28.00;3.00;35.80;12.10;5.10;4.90
H5-28;;1.00;Kvi;92.00;46.00;10.00;BNN;1.00;50.00;102.00;33.20;76.00;32.00;1.00;31.70;12.80;5.20;5.10
H5-28;;2.00;Kvi;92.00;47.00;12.00;SBH;1.00;50.00;102.00;33.10;78.00;30.00;2.00;31.80;;;
H5-79;;1.00;Kvi;92.00;49.00;9.00;SBH;2.00;50.00;97.00;32.00;74.00;29.50;1.00;27.80;12.50;5.00;5.10
H5-82;;1.00;Kvi;92.00;60.00;9.00;DHT;2.00;50.00;97.00;32.80;74.00;26.00;3.00;34.40;13.00;5.40;5.10
H5-89;;1.00;Kvi;92.00;50.00;10.00;DHT;1.00;50.00;100.00;34.50;73.00;29.00;1.00;34.90;12.60;5.20;5.10
H5-98;;1.00;Kvi;92.00;59.00;9.00;DHT;1.00;50.00;100.00;34.70;80.00;29.00;1.00;34.70;12.60;5.30;5.30
H7-11;;1.00;Kvi;92.00;36.00;8.00;BNN;2.00;35.00;95.00;31.90;74.00;26.50;1.00;32.00;13.00;5.10;5.00
H7-15;;1.00;Kvi;92.00;18.00;11.00;BNN;1.00;35.00;102.00;33.60;78.00;30.50;2.00;34.10;12.00;5.10;5.00
H7-18;;1.00;Kvi;92.00;25.00;10.00;SBH;1.00;20.00;101.00;32.70;82.00;30.00;2.00;35.40;12.20;4.80;4.90
H7-2;;1.00;Kvi;92.00;55.00;9.00;DHT;2.00;70.00;94.40;32.80;75.00;26.00;1.00;31.30;11.30;5.40;5.00
H7-21;;1.00;Kvi;92.00;24.00;10.00;DHT;1.00;35.00;99.00;34.30;79.00;29.00;1.00;33.70;13.10;5.30;5.30
H7-21;;2.00;Kvi;92.00;48.00;11.00;BNN;1.00;35.00;99.00;34.30;78.00;29.50;1.00;32.10;;;
H7-3;;1.00;Kvi;92.00;29.00;16.00;SBH;1.00;70.00;102.00;34.10;79.00;31.00;1.00;34.10;12.10;5.00;5.00
H7-35;;1.00;Kvi;92.00;44.00;7.00;DHT;2.00;35.00;95.00;31.80;71.00;28.50;1.00;35.00;12.70;5.40;4.80
H7-37;;1.00;Kvi;92.00;45.00;8.00;DHT;2.00;35.00;101.00;33.70;78.00;29.50;2.00;33.40;13.30;5.30;5.10
H7-39;;1.00;Kvi;92.00;71.00;7.00;BNN;2.00;20.00;94.00;32.00;72.00;26.00;;32.20;13.10;5.20;5.10
H7-41;3377753.00;1.00;Kvi;92.00;36.00;11.00;DHT;1.00;35.00;98.00;33.70;76.00;29.00;3.00;33.90;12.70;5.10;5.00
H7-53;;1.00;Kvi;92.00;37.00;12.00;DHT;1.00;35.00;105.30;35.10;84.00;30.00;2.00;36.30;12.20;5.40;5.00
H7-7;;1.00;Kvi;92.00;50.00;11.00;DHT;2.00;70.00;100.40;33.10;79.00;29.00;1.00;30.00;14.10;5.30;5.10
H7-70;;1.00;Kvi;92.00;41.00;10.00;BNN;2.00;20.00;95.00;32.90;74.00;25.50;;33.90;12.80;5.40;5.30
H7-71;;1.00;Kvi;92.00;53.00;5.00;BNN;1.00;30.00;99.00;32.00;78.00;31.00;1.00;31.00;13.10;5.20;5.00
H7-72;;1.00;Kvi;92.00;20.00;11.00;DHT;2.00;35.00;94.00;31.90;74.00;27.00;3.00;35.90;12.40;5.60;5.30
H7-75;;1.00;Kvi;92.00;42.00;7.00;BNN;2.00;35.00;100.50;32.80;78.00;30.00;1.00;35.90;;;
H7-77;;1.00;Kvi;92.00;40.00;11.00;BNN;1.00;35.00;105.00;33.80;82.00;29.50;1.00;35.50;12.80;5.20;5.00
H7-77;;2.00;Kvi;92.00;48.00;;SBH;1.00;35.00;103.00;33.40;82.00;29.00;1.00;34.00;12.80;5.00;4.80
H7-78;;1.00;Kvi;92.00;46.00;10.00;DHT;1.00;45.00;99.00;34.60;76.00;27.00;1.00;34.30;12.30;5.20;5.10
H7-80;;2.00;Kvi;92.00;17.00;12.00;BNN;1.00;35.00;103.00;32.80;79.00;30.00;1.00;;13.00;;
H7-80;;1.00;Kvi;92.00;20.00;6.00;DHT;1.00;35.00;104.00;32.80;82.00;30.50;1.00;34.20;13.10;5.10;5.00
H7-82;;1.00;Kvi;92.00;44.00;11.00;DHT;2.00;50.00;96.00;32.70;73.00;27.00;.00;30.40;12.80;5.40;5.10
H7-82;;2.00;Kvi;92.00;50.00;13.00;BNN;2.00;45.00;98.00;30.80;74.00;29.00;1.00;28.30;13.00;5.20;5.00
H7-87;;1.00;Kvi;92.00;11.00;10.00;DHT;1.00;35.00;100.00;34.20;79.00;;2.00;35.70;13.00;5.10;5.00
H7-88;;1.00;Kvi;92.00;24.00;11.00;BNN;2.00;20.00;96.00;32.30;74.00;27.50;1.00;32.60;12.10;4.90;5.00
H7-89;;1.00;Kvi;92.00;26.00;10.00;BNN;1.00;20.00;102.00;33.90;78.00;29.50;2.00;34.40;13.10;5.30;5.40
H7-99;;1.00;Kvi;92.00;44.00;12.00;DHT;1.00;70.00;101.70;34.10;78.00;29.50;2.00;36.20;12.60;5.30;4.80
H8-00;;1.00;Kvi;92.00;20.00;10.00;DHT;2.00;40.00;101.00;32.40;76.00;28.50;3.00;33.80;12.80;5.30;5.10
H8-25;;1.00;Kvi;92.00;79.00;18.00;DHT;1.00;40.00;100.00;34.40;79.00;29.00;2.00;35.50;12.90;5.80;5.40
H8-72;;1.00;Kvi;92.00;45.00;11.00;DHT;1.00;40.00;101.60;33.70;81.00;28.50;1.00;34.00;12.50;5.30;5.00
H9-29;;1.00;Kvi;92.00;36.00;11.00;DHT;1.00;30.00;102.40;33.90;79.00;29.00;1.00;34.60;12.30;5.30;5.10
H9-59;;1.00;Kvi;92.00;11.00;9.00;DHT;1.00;30.00;101.00;32.90;80.00;;3.00;;;;
H9-78;;1.00;Kvi;92.00;24.00;14.00;SBH;2.00;30.00;95.00;32.10;75.00;28.00;4.00;36.40;12.20;4.80;4.80
H9-78;;2.00;Kvi;92.00;47.00;19.00;DHT;2.00;30.00;96.00;32.70;76.00;27.50;4.00;32.80;;;
H9-85;;1.00;Kvi;92.00;56.00;8.00;DHT;2.00;30.00;96.00;31.80;73.00;28.50;2.00;;12.30;5.00;5.20
H9-88;;1.00;Kvi;92.00;34.00;7.00;SBH;1.00;30.00;104.40;33.00;82.00;30.50;1.00;33.80;12.40;5.10;4.80
