ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
H1-29;;1.00;Tak;89.00;51.00;12.00;DHT;2.00;35.00;95.00;32.90;;;2.00;30.30;;;
H1-38;;1.00;Tak;89.00;42.00;8.00;SBH;2.00;35.00;99.00;33.10;;;2.00;34.90;;;
H1-51;;1.00;Tak;89.00;38.00;11.00;SBH;1.00;35.00;101.00;34.10;;;2.00;35.30;;;
H1-58;;1.00;Tak;89.00;42.00;7.00;SBH;1.00;20.00;100.00;34.80;;;1.00;36.50;;;
H1-89;;1.00;Tak;89.00;38.00;10.00;SBH;1.00;35.00;104.00;33.90;;;2.00;36.80;;;
H1-91;;1.00;Tak;89.00;42.00;12.00;SBH;1.00;20.00;101.00;33.80;;;2.00;37.30;;;
H4-15;;1.00;Tak;89.00;37.00;9.00;SBH;1.00;20.00;100.00;34.10;;;1.00;35.60;;;
H4-17;;1.00;Tak;89.00;36.00;9.00;SBH;1.00;20.00;103.00;33.00;;;1.00;34.60;;;
H0-19;;1.00;Tak;89.00;37.00;9.00;SBH;1.00;20.00;101.00;34.00;;;2.00;36.20;;;
H4-22;;1.00;Tak;89.00;17.00;10.00;SBH;1.00;35.00;103.00;34.00;;;2.00;32.70;;;
H4-23;;1.00;Tak;89.00;24.00;9.00;DHT;1.00;25.00;98.00;33.00;;;1.00;33.40;;;
H4-25;;1.00;Tak;89.00;20.00;11.00;SBH;2.00;35.00;98.00;32.10;;;3.00;35.30;;;
H4-25;;1.00;Tak;89.00;4.00;10.00;SBH;1.00;35.00;102.00;33.20;;;3.00;;;;
H4-27;;1.00;Tak;89.00;24.00;15.00;UON;1.00;20.00;102.00;32.80;;;2.00;34.60;;;
H4-28;;1.00;Tak;89.00;4.00;14.00;DHT;1.00;35.00;104.00;34.80;;;3.00;;;;
H4-32;;1.00;Tak;89.00;20.00;13.00;SBH;1.00;35.00;100.00;35.00;;;1.00;35.30;;;
H4-33;;1.00;Tak;89.00;27.00;9.00;DHT;1.00;35.00;104.00;33.20;;;2.00;35.10;;;
H4-35;;1.00;Tak;89.00;4.00;13.00;DHT;1.00;35.00;102.00;33.80;;;2.00;;;;
H4-38;;1.00;Tak;89.00;21.00;8.00;SBH;1.00;20.00;97.00;34.70;;;2.00;36.30;;;
H4-43;;1.00;Tak;89.00;27.00;11.00;DHT;1.00;20.00;99.00;32.20;;;2.00;34.40;;;
H4-45;;1.00;Tak;89.00;27.00;9.00;DHT;1.00;35.00;99.00;32.10;;;1.00;34.10;;;
H4-48;;1.00;Tak;89.00;26.00;12.00;DHT;2.00;35.00;98.00;33.00;;;3.00;34.40;;;
H4-52;;1.00;Tak;89.00;37.00;11.00;PFN;1.00;20.00;101.00;34.70;;;1.00;37.40;;;
H4-53;;1.00;Tak;89.00;24.00;12.00;UON;1.00;35.00;101.00;33.80;;;1.00;35.70;;;
H4-55;;1.00;Tak;89.00;4.00;14.00;DHT;1.00;35.00;100.00;34.10;;;3.00;;;;
H4-57;3423518.00;1.00;Tak;89.00;37.00;8.00;PFN;1.00;20.00;98.00;33.30;;;1.00;34.30;;;
H4-58;;1.00;Tak;89.00;17.00;10.00;SBH;1.00;35.00;105.00;34.20;;;2.00;37.80;;;
H4-59;;1.00;Tak;89.00;24.00;13.00;UON;1.00;35.00;103.00;35.00;;;1.00;35.80;;;
H4-72;;1.00;Tak;89.00;15.00;20.00;SBH;1.00;35.00;102.00;34.70;;;2.00;35.80;;;
H4-73;;1.00;Tak;89.00;24.00;9.00;DHT;1.00;35.00;100.00;33.90;;;2.00;35.70;;;
H4-75;;1.00;Tak;89.00;24.00;10.00;DHT;1.00;35.00;103.00;34.20;;;2.00;36.20;;;
H4-77;;1.00;Tak;89.00;4.00;11.00;SBH;1.00;35.00;102.00;34.20;;;2.00;;;;
H4-79;;1.00;Tak;89.00;12.00;8.00;DHT;1.00;35.00;101.00;35.70;;;1.00;37.50;;;
