site;stand;surf;oak;bir;bea;ald;asp;lim
10;1111;0.7;0;0.66667;0;0.16667;0.16667;0
10;1112;0.7;0;1;0;0;0;0
10;1114;6.5;0.42991;0.15888;0;0.00935;0.1028;0.06542
10;1115;1;0.16667;0.27778;0;0;0.27778;0
14;1402;2;0.325;0.275;0;0.3;0;0
14;1403;5.9;0.09836;0.2623;0;0.2623;0;0
14;1404;1.3;0.44444;0;0;0.11111;0;0
14;1407;1.4;0;0.25;0;0;0;0
14;1408;4.1;0.35;0.1;0;0.075;0;0.1
14;1409;10.6;0;0;0;1;0;0
14;1421;2.4;0.07407;0.14815;0;0.7037;0;0
14;1438;0.7;0.75;0;0;0;0;0
14;1439;0.7;0.375;0;0;0.625;0;0
14;1446;13.2;0.06383;0.14894;0;0.09574;0.05319;0.07447
14;1447;3.1;0.27451;0.23529;0.11765;0.09804;0.01961;0
14;1448;6.1;0.28378;0.01351;0.09459;0.09459;0;0.2973
14;1449;1.1;0.17391;0.3913;0;0.21739;0.13043;0
14;1454;11.2;0.05921;0.03289;0.88158;0.00658;0.00658;0.01316
20;1903;0.9;0.375;0.04167;0.29167;0;0;0
20;1904;0.6;0.14286;0.28571;0;0;0;0
20;1906;0.9;0.16667;0.41667;0;0.16667;0;0
20;1907;1.6;0;0.5625;0;0.0625;0;0.0625
20;1908;6.5;0.23529;0.17647;0.18824;0.27059;0.03529;0
20;1909;9.5;0.08;0.28;0.04;0.28;0;0.04
20;1912;0.3;0;0.5;0;0;0.25;0
20;1913;0.4;0;0.75;0;0.125;0.125;0
20;1915;1.6;0;0;0;0;0;0
20;2001;0.3;0;0.66667;0;0;0.16667;0
20;2002;0.8;0;0.5;0;0;0;0
20;2003;1.2;0.08333;0.58333;0;0;0;0
20;2005;1.2;0.1;0.4;0;0.1;0;0
20;2007;0.8;0;0.5;0;0.25;0;0
20;2105;1.6;0.75;0;0.25;0;0;0
20;2201;2.8;0.33333;0.33333;0.04167;0.29167;0;0
20;2202;0.3;0;0.25;0;0.5;0.25;0
20;2203;1.6;0;0.61538;0;0.23077;0;0
30;3001;2.4;0.225;0.2;0.275;0.05;0;0
30;3002;1.3;0;0.875;0;0;0;0
30;3003;2.1;0;0.55;0;0.1;0.05;0
30;3004;1.5;0.1875;0.5625;0.0625;0.125;0.0625;0
30;3005;2;0.0625;0.15625;0.3125;0;0.15625;0.125
30;3006;1.4;0.07143;0.35714;0.03571;0.14286;0.21429;0
30;3007;0.7;0.25;0;0.0625;0;0.125;0.0625
30;3008;1.3;0;0.6;0;0;0.35;0
